No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	 	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
562504	09/12/2014	ZSCR	551	040-4	NA	'054	A2C91764100	NA	A2C92572300	1	1404	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4985095979
562514	09/12/2014	ZSCR	551	040-4	NA	'054	A2C83971400	NA	A2C83971600	3	1404	pcb topSMD	NA	HALB	S.Real/AutoBF	1166.25	PS_SDM10_.	NO	4985095834
562516	09/12/2014	ZSCR	551	040-4	NA	'054	A2C83971400	NA	A2C83971600	1	1404	pcb topSMD	NA	HALB	S.Real/AutoBF	388.75	PS_SDM10_.	NO	4985095834
562517	09/12/2014	ZSCR	551	040-4	NA	'054	A2C91764100	NA	A2C92572300	1	1404	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4985095979
562971	10/12/2014	ZSCR	551	030-1	NA	'054	A2C81625900	NA	A2C53399617A	1	1301	circuit board assy	NA	HALB	S.Real	172.72	PS_HONDA HRS5_.	NO	
562973	10/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	
562975	10/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	
562976	10/12/2014	ZSCR	551	030-1	NA	'054	A2C81532800	NA	A2C8153280093	1	1301	pcb assy DAGARM3 V12 Top	NA	HALB	S.Real	265.7	PS_ARAMIS III_E.EDWIN R	NO	
562982	10/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	
562985	10/12/2014	ZSCR	551	030-1	NA	'054	A2C91763800	NA	A2C9257200093	1	1301	pcb botMAN GMSDM30 Top	NA	HALB	S.Real	140.84	PS_SDM30_.	NO	
562996	10/12/2014	ZSCR	551	030-1	NA	'054	A2C8397200092	NA	A2C34638400	4	1301	pcb 6-lay main	NA	ROH	NA	99.24	PS_SDM10+_.	NO	
563010	10/12/2014	ZSCR	551	034-9	NA	'054	A2C81625900	NA	A2C5339961702	1	1349	pcb assy V1B	NA	HALB	S.Real/AutoBF	209.64	PS_HONDA HRS5_.	NO	4985094588
563025	10/12/2014	ZSCR	551	040-3	NA	'054	A2C85801200	NA	A2C53333520	500	1403	TYPE LABLE	NA	ROH	NA	190	PS_SDM10+_.	NO	
563026	10/12/2014	ZSCR	551	040-3	NA	'054	A2C91764400	NA	A2C83145200	400	1403	certification label identificati	NA	ROH	NA	132	PS_SDM30_.	NO	
563027	10/12/2014	ZSCR	551	040-2	NA	'054	A2C85901112	NA	A2C87057001	1	1402	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	420.33	PSAD_DAIMLER STAR 2_A.A	NO	
563029	10/12/2014	ZSCR	551	040-1	NA	'054	A2C37964112	NA	A2C35116201	1	1401	pcb assy DAGSTAR2 D_13	NA	HALB	S.Real	398.7	PSAD_DAIMLER STAR 2_A.A	NO	
563031	10/12/2014	ZSCR	551	040-4	NA	'054	A2C83971400	NA	A2C8397160093	1	1404	pcb topSMD Top	NA	HALB	S.Real	385.85	PS_SDM10_.	NO	
563034	10/12/2014	ZSCR	551	040-4	NA	'054	A2C83972000	NA	A2C8397200093	1	1404	pcb topSMD Top	NA	HALB	S.Real	358.75	PS_SDM10+_.	NO	
563329	11/12/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_.	NO	
563331	11/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	2	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	529.78	PS_HONDA HRS6_J.JUAN CH	NO	
