No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
103002	ZSCR	551	030-1	NA	S180143001	NA	A2C53372524B	1	3011	045		1301	SMD sub assy JP HP 3B 314.85 MHz Bot	NA	HALB	S.Real	50.8	4955114956
103005	ZSCR	551	030-1	NA	5WK49622C	NA	A2C53297306B	4	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	207.96	4955114645
103166	ZSCR	551	040-1	NA	5WY7700	NA	A2C53184512	1	3011	045		1401	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4955115609
103167	ZSCR	551	040-1	NA	5WY7700	NA	A2C53184512	1	3011	045		1401	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4955115609
103172	ZSCR	551	034-2	NA	5WK49608C	NA	A2C00004906	4	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	5.48	4955115244
103172	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53319341	4	3011	045		1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.16	4955115244
103172	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53323911	4	3011	045		1342	housing	NA	ROH	NA	4.24	4955115244
103172	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53323916	4	3011	045		1342	slide	NA	ROH	NA	3.2	4955115244
103172	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53358639	4	3011	045		1342	contact spring	NA	ROH	NA	2.32	4955115244
103172	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	4	3011	045		1342	housing bottom	NA	ROH	NA	3.84	4955115287
103353	ZSCR	551	030-1	NA	5WK50437	NA	A2C53398079T	2	3011	045		1301	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	609.94	4955115070
103354	ZSCR	551	034-8	NA	5WK50437	NA	A2C53353454	2	3011	045		1348	"pcb VW POLO,IBI"	NA	ROH	NA	78.18	4955115421
103356	ZSCR	551	030-1	NA	5WK50437	NA	A2C53353454	2	3011	045		1301	"pcb VW POLO,IBI"	NA	ROH	NA	78.18	4955114538
103363	ZSCR	551	034-2	NA	5WK50437	NA	A2C53353454	2	3011	045		1342	"pcb VW POLO,IBI"	NA	ROH	NA	78.18	4955115253
103382	ZSCR	551	030-1	NA	5WK50437	NA	A2C00047432	26	3011	045		1301	"MICRO,SINGLE,10V,PIP-RELAY/V23086-R1802-"	NA	ROH	NA	102.18	4955114538
103390	ZSCR	551	034-2	NA	S180039013	NA	A2C53121775	3	3011	045		1342	housing	NA	ROH	NA	5.04	4955115280
103402	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103407	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	3	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	152.94	4955114618
103408	ZSCR	551	030-1	NA	5WK50437	NA	A2C53398079T	6	3011	045		1301	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	1829.82	4955115070
103652	ZSCR	551	030-1	NA	5WY7700	NA	A2C53114671	1	3011	045		1301	housing	NA	ROH	NA	2.8	4955114548
103652	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	2	3011	045		1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	78.6	4955115219
103657	ZSCR	551	030-1	NA	5WK50244	NA	A2C53361994	1	3011	045		1301	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	336.29	4955114682
103657	ZSCR	551	030-1	NA	5WK50244	NA	A2C53361994T	2	3011	045		1301	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	627.52	4955114944
103659	ZSCR	551	034-2	NA	5WK50439	NA	A2C31082700	1	3011	045		1342	pcb assy BCU 315 v26	NA	HALB	S.Real	387.42	4955115302
103662	ZSCR	551	030-1	NA	5WK50437	NA	A2C00052547	19	3011	045		1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	125.97	4955114538
103663	ZSCR	551	040-2	NA	5WK50437	NA	A2C53221115	3	3011	045		1402	housing BK	NA	ROH	NA	56.61	4955115667
103663	ZSCR	551	040-2	NA	5WK50437	NA	A2C53221116	1	3011	045		1402	housing BK	NA	ROH	NA	14.99	4955115667
103665	ZSCR	551	040-2	NA	5WK50437	NA	A2C53221116	10	3011	045		1402	housing BK	NA	ROH	NA	149.9	4955115667
103666	ZSCR	551	040-2	NA	5WK50437	NA	A2C53221115	1	3011	045		1402	housing BK	NA	ROH	NA	18.87	4955115667
103672	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117467	20	3011	045		1301	pcb NIS D-PLATF	NA	ROH	NA	165	4955114548
103681	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	2	3011	045		1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	78.6	4955115219
103682	ZSCR	551	035-1	NA	5WK50437	NA	A2C53213475	476	3011	045		1351	"connector pin 0,64x0,64 L=22,5"	NA	ROH	NA	42.84	4955115548
103682	ZSCR	551	035-1	NA	5WK50437	NA	A2C53213477	119	3011	045		1351	"tab 2,8x0,8"	NA	ROH	NA	28.56	4955115548
103683	ZSCR	551	030-1	NA	5WK49609C	NA	A2C53297307B	1	3011	045		1301	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	51.98	4955114660
103684	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103685	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103686	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	4	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	207.96	4955114645
103687	ZSCR	551	030-1	NA	5WK49618C	NA	A2C53367590B	1	3011	045		1301	SMD sub assy JP Hibrido 3Bot BOTTOM	NA	HALB	S.Real	50.86	4955114948
103688	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103690	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103691	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103692	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103693	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103698	ZSCR	551	034-2	NA	S180039003	NA	A2C53184074	1	3011	045		1342	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	73.16	4955115400
103699	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	4	3011	045		1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	223.44	4955114638
103700	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	1	3011	045		1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	55.86	4955114638
103701	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	1	3011	045		1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	25.66	4955114593
103702	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	1	3011	045		1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	25.66	4955114593
103707	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103708	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103710	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103712	ZSCR	551	030-1	NA	5WK49623C	NA	A2C53297307B	1	3011	045		1301	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	51.98	4955114660
103716	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53188764	6	3011	045		1301	PCB Nissan Key Fob 4B Handy Counter	NA	ROH	NA	19.56	4955114506
103717	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53394918	8	3011	045		1402	certification label	NA	ROH	NA	39.44	4955115636
103718	ZSCR	551	040-2	NA	5WK49670C	NA	A2C00004906	3	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	4.11	4955115636
103718	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53394918	7	3011	045		1402	certification label	NA	ROH	NA	34.51	4955115636
103719	ZSCR	551	040-2	NA	5WY7700	NA	A2C53114671	2	3011	045		1402	housing	NA	ROH	NA	5.6	4955115693
103725	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117467	10	3011	045		1301	pcb NIS D-PLATF	NA	ROH	NA	82.5	4955114548
103726	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53188764	120	3011	045		1301	PCB Nissan Key Fob 4B Handy Counter	NA	ROH	NA	391.2	4955114506
103727	ZSCR	551	030-1	NA	5WK50437	NA	A2C53353454	2	3011	045		1301	"pcb VW POLO,IBI"	NA	ROH	NA	78.18	4955114538
103728	ZSCR	551	030-1	NA	5WG50028	NA	A2C53380884	1	3011	045		1301	circuit board assy VW PQ35	NA	HALB	S.Real	97.03	4955114972
103738	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103739	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103740	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103741	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103742	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103743	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103744	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103746	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	4	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	203.92	4955114618
103747	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103748	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103749	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	3	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	152.94	4955114618
103750	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103751	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	2	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	101.96	4955114618
103753	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103755	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4955114645
103757	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955114618
103759	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	6	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	311.94	4955114645
103761	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	5	3011	045		1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	254.9	4955114618
103763	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	2	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4955114645
103768	ZSCR	551	040-2	NA	5WK49670C	NA	A2C00004906	6	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	8.22	4955115636
103768	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53319341	6	3011	045		1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.24	4955115636
103768	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323911	6	3011	045		1402	housing	NA	ROH	NA	6.36	4955115636
103768	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323916	6	3011	045		1402	slide	NA	ROH	NA	4.8	4955115636
103768	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53358639	6	3011	045		1402	contact spring	NA	ROH	NA	3.48	4955115636
103768	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53365041	6	3011	045		1402	housing	NA	ROH	NA	6.12	4955115636
103768	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53394918	6	3011	045		1402	certification label	NA	ROH	NA	29.58	4955115636
103783	ZSCR	551	040-2	NA	5WK49670C	NA	A2C00004906	16	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	21.92	4955115636
103783	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53319341	16	3011	045		1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.64	4955115636
103783	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323911	16	3011	045		1402	housing	NA	ROH	NA	16.96	4955115636
103783	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323916	16	3011	045		1402	slide	NA	ROH	NA	12.8	4955115636
103783	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53358639	16	3011	045		1402	contact spring	NA	ROH	NA	9.28	4955115636
103783	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53365041	11	3011	045		1402	housing	NA	ROH	NA	11.22	4955115636
103783	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53394918	11	3011	045		1402	certification label	NA	ROH	NA	54.23	4955115636
103796	ZSCR	551	035-1	NA	5WG50282	NA	A2C53213475	237	3011	045		1351	"connector pin 0,64x0,64 L=22,5"	NA	ROH	NA	21.33	4955115513
103796	ZSCR	551	035-1	NA	5WG50282	NA	A2C53213477	121	3011	045		1351	"tab 2,8x0,8"	NA	ROH	NA	29.04	4955115513
103796	ZSCR	551	035-1	NA	5WG50282	NA	A2C53213478	128	3011	045		1351	"tab 4,8x0,8"	NA	ROH	NA	42.24	4955115513
