No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	E	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
626446	02/06/2015	ZSCR	551	022-2	NA	'050	A2C74109000	NA	A2C37574600	1976	3011	050	 	1222	"FLAT CONNECTOR 1,2 X 0,6 X 12,2"	NA	ROH	NA	276.64	S1_CBC MY15_. (APROBAC	NO	4991018555
626446	02/06/2015	ZSCR	551	022-2	NA	'050	A2C74109000	NA	A2C37574700	780	3011	050	 	1222	"FLAT CONNECTOR 2,8 x 0,8 X 11,8"	NA	ROH	NA	187.2	S1_CBC MY15_. (APROBAC	NO	4991018555
626446	02/06/2015	ZSCR	551	022-2	NA	'050	A2C73785403	NA	A2C73599005	26	3011	050	 	1222	pcb 4-lay ImSn Chrysler MY15 CBC	NA	ROH	NA	2074.54	S1_CBC MY15_. (APROBAC	NO	4991018446
626666	03/06/2015	ZSCR	551	042-4	NA	'015	A2C73601801	NA	A2C73637100	2	3011	015	 	1424	"HOUSING, UPPER CBC"	NA	ROH	NA	48.82	S1_CBC MY15_. (APROBAC	NO	4991017402
626666	03/06/2015	ZSCR	551	042-4	NA	'015	A2C73601801	NA	A2C73637200	1	3011	015	 	1424	"COVER, LOWER CBC"	NA	ROH	NA	7.06	S1_CBC MY15_. (APROBAC	NO	4991017402
627048	03/06/2015	ZSCR	551	034-2	NA	'015	A2C73637000	NA	A2C73637100	3	3011	015	 	1342	"HOUSING, UPPER CBC"	NA	ROH	NA	73.23	S1_CBC MY15_. (APROBAC	NO	4991017109
627229	04/06/2015	ZSCR	551	040-2	NA	'015	A2C73601801	NA	A2C73637100	1	3011	015	 	1402	"HOUSING, UPPER CBC"	NA	ROH	NA	24.41	S1_CBC MY15_. (APROBAC	NO	4991017402
627537	04/06/2015	ZSCR	551	042-4	NA	'015	A2C73601801	NA	A2C73637100	1	3011	015	 	1424	"HOUSING, UPPER CBC"	NA	ROH	NA	24.41	S1_CBC MY15_. (APROBAC	NO	4991017402
627537	04/06/2015	ZSCR	551	042-4	NA	'015	A2C73601801	NA	A2C73637200	1	3011	015	 	1424	"COVER, LOWER CBC"	NA	ROH	NA	7.06	S1_CBC MY15_. (APROBAC	NO	4991017402
627926	05/06/2015	ZSCR	551	040-2	NA	'050	A2C31229000	NA	A2C31229200	2	3011	050	 	1402	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	126.96	S1_TIPM MEDIUM_P.PABLO	NO	4991018134
627941	05/06/2015	ZSCR	551	040-2	NA	'050	A2C32118700	NA	A2C32118900	2	3011	050	 	1402	"PCB, MY12 SPDJB W/LOOP ANTENNA ST DRV Z"	NA	ROH	NA	91.12	S1_SPDJB_P.PABLO PALMER	NO	Stock
627943	05/06/2015	ZSCR	551	034-2	NA	'050	A2C31229000	NA	A2C31229200	2	3011	050	 	1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	126.96	S1_TIPM MEDIUM_P.PABLO	NO	4991018134
627945	05/06/2015	ZSCR	551	050-5	NA	'AEES	A2C53428271	NA	A2C53428271	2				1505	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	481.44	S1_TIMP-JUAREZ_M.MARIO	NO	Stock
627951	05/06/2015	ZSCR	551	040-5	NA	'050	A2C81624200	NA	A2C82135300	4	3011	050	 	1405	pcb 4-lay FR-4 ImSn	NA	ROH	NA	116.6	S1_WK_WD RFHUB_A.ADRIAN	NO	4991018653
628155	06/06/2015	ZSCR	551	040-5	NA	'050	A2C32292100	NA	A2C32464300	4	3011	050	 	1405	pcb	NA	ROH	NA	116.68	S1_CUSW UF RFHM_A.ADRIA	NO	4991018233
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C00030945	196	3011	050	 	1351	"4,EQ ISO,konvex 1206,100K,5%,63mW,NET RE"		ROH	NA	7.84	S1_SPDJB_A.ARTURO ARRIE	NO	4991018641
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8083670093	NA	A2C00030945	126	3011	050	 	1351	"4,EQ ISO,konvex 1206,100K,5%,63mW,NET RE"		ROH	NA	5.04	S1_SPDJB_A.ARTURO ARRIE	NO	4991018625
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8082790093	NA	A2C00030945	45	3011	050	 	1351	"4,EQ ISO,konvex 1206,100K,5%,63mW,NET RE"		ROH	NA	1.8	S1_SPDJB_A.ARTURO ARRIE	NO	4991018599
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C40001843	27	3011	050	 	1351	"R LIN,182R,1%,TK100,125mW,0805"		ROH	NA	0.27	S1_SPDJB_A.ARTURO ARRIE	NO	4991018641
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8083670093	NA	A2C40001843	34	3011	050	 	1351	"R LIN,182R,1%,TK100,125mW,0805"		ROH	NA	0.34	S1_SPDJB_A.ARTURO ARRIE	NO	4991018625
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8082790093	NA	A2C40001843	16	3011	050	 	1351	"R LIN,182R,1%,TK100,125mW,0805"		ROH	NA	0.16	S1_SPDJB_A.ARTURO ARRIE	NO	4991018599
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C40007573	2	3011	050	 	1351	"D REC/S2G-002/5BT,0V,0A,5.59 X 3.81,0s"		ROH	NA	0.54	S1_SPDJB_A.ARTURO ARRIE	NO	4991018641
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C40007759	1	3011	050	 	1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	0.92	S1_SPDJB_A.ARTURO ARRIE	NO	4991018641
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8083670093	NA	A2C40007759	3	3011	050	 	1351	"D SUP/TPSMC43A/57T,DO-214AB"		ROH	NA	2.76	S1_SPDJB_A.ARTURO ARRIE	NO	4991018625
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C40012025	28	3011	050	 	1351	"R LIN,61R9,1%,TK100,250mW,1206"		ROH	NA	0.56	S1_SPDJB_A.ARTURO ARRIE	NO	4991018641
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8082790093	NA	A2C40012025	6	3011	050	 	1351	"R LIN,61R9,1%,TK100,250mW,1206"		ROH	NA	0.12	S1_SPDJB_A.ARTURO ARRIE	NO	4991018599
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C40012049	184	3011	050	 	1351	"R LIN,1K3,5%,TK200,330mW,1210"		ROH	NA	9.2	S1_SPDJB_A.ARTURO ARRIE	NO	Stock
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C40014130	12	3011	050	 	1351	"IC VOLT REG/LM317LBD,SO8"		ROH	NA	12.36	S1_SPDJB_A.ARTURO ARRIE	NO	4991018641
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8083670093	NA	A2C40014130	34	3011	050	 	1351	"IC VOLT REG/LM317LBD,SO8"		ROH	NA	35.02	S1_SPDJB_A.ARTURO ARRIE	NO	4991018625
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8086340093	NA	A2C40015015	6	3011	050	 	1351	"L COIL/12N,12nH,700mA,SMD"		ROH	NA	2.1	S1_SPDJB_A.ARTURO ARRIE	NO	4991018641
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8083670093	NA	A2C40015015	2	3011	050	 	1351	"L COIL/12N,12nH,700mA,SMD"		ROH	NA	0.7	S1_SPDJB_A.ARTURO ARRIE	NO	4991018625
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8082790093	NA	A2C40015015	10	3011	050	 	1351	"L COIL/12N,12nH,700mA,SMD"		ROH	NA	3.5	S1_SPDJB_A.ARTURO ARRIE	NO	4991018599
628258	07/06/2015	ZSCR	551	035-1	0	'050	A2C8082790093	NA	A2C40015034	2	3011	050	 	1351	"L COIL/150N,150nH,240mA,SMD"		ROH	NA	0.74	S1_SPDJB_A.ARTURO ARRIE	NO	Stock
628262	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C00042519	1	3011	050	 	1351	"4,36V,160mOhm,PowerSSO-24,GENERAL PURPOS"		ROH	NA	5.99	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628262	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40001463	66	3011	050	 	1351	"C CER,X7R,100nF,10%,50V,0805,Sn ++ Open"		ROH	NA	3.3	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628262	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40007730	7	3011	050	 	1351	"D SUP/MMBZ27VALT1,SOT23"		ROH	NA	0.77	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628262	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40014082	6	3011	050	 	1351	"IC VOLT REG/TLE7270G,TO263-5-1"		ROH	NA	45	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628263	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C00023271	5	3011	050	 	1351	"4,EQ ISO,konvex 1206,2K2,5%,63mW,NET RES"		ROH	NA	0.15	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628263	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40002163	11	3011	050	 	1351	"R LIN,27K,5%,TK200,100mW,0603"		ROH	NA	0.11	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628263	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40005523	28	3011	050	 	1351	"R NET,10K,5%,63mW,1206"		ROH	NA	0.84	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628263	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40007070	32	3011	050	 	1351	"C CER,C0G,100pF,10%,50V,C0603,-"		ROH	NA	0.64	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628263	07/06/2015	ZSCR	551	035-1	0	'050	A2C31231400T	NA	A2C40010607	10	3011	050	 	1351	"IC VOLT REG/TLE4250G,SCT-595"		ROH	NA	14	S1_TIPM MEDIUM_A.ARTURO	NO	4991018189
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730230092	NA	A2C00000482	10	3011	050	 	1351	"1,NPN,NORMAL,500mA,300V,SOT23,BIP/PMBTA4"		ROH	NA	1.4	S1_RFHM CUSW_J.JORGE AG	NO	4991018784
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8216760093	NA	A2C00010444	11	3011	050	 	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.11	S1_RFHM CUSW_J.JORGE AG	NO	4991018684
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8216780093	NA	A2C00018230	4	3011	050	 	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.76	S1_RFHM CUSW_J.JORGE AG	NO	4991018715
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8216760093	NA	A2C00018230	4	3011	050	 	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.76	S1_RFHM CUSW_J.JORGE AG	NO	4991018684
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730230093	NA	A2C00018862	14	3011	050	 	1351	"68uH,900mA,SMD,COIL/SIMID"		ROH	NA	17.92	S1_RFHM CUSW_J.JORGE AG	NO	4991018786
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730220093	NA	A2C00018862	21	3011	050	 	1351	"68uH,900mA,SMD,COIL/SIMID"		ROH	NA	26.88	S1_RFHM CUSW_J.JORGE AG	NO	4991018778
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C3229600093	NA	A2C00018862	1	3011	050	 	1351	"68uH,900mA,SMD,COIL/SIMID"		ROH	NA	1.28	S1_RFHM CUSW_J.JORGE AG	NO	4991018259
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8016290092	NA	A2C00034103	13	3011	050	 	1351	"100nF,10%,100V,X7R,0805,Sn,CER CAP/GCM"		ROH	NA	0.78	S1_RFHM CUSW_J.JORGE AG	NO	4991018589
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730230093	NA	A2C00038706	5	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	1.55	S1_RFHM CUSW_J.JORGE AG	NO	4991018786
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730220093	NA	A2C00038706	14	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	4.34	S1_RFHM CUSW_J.JORGE AG	NO	4991018778
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8216780093	NA	A2C00038706	1	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	0.31	S1_RFHM CUSW_J.JORGE AG	NO	4991018715
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8216790093	NA	A2C00038706	3	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	0.93	S1_RFHM CUSW_J.JORGE AG	NO	4991018726
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8216760093	NA	A2C00038706	29	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	8.99	S1_RFHM CUSW_J.JORGE AG	NO	4991018684
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8016290093	NA	A2C00038706	15	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	4.65	S1_RFHM CUSW_J.JORGE AG	NO	4991018592
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730230093	NA	A2C00040024	16	3011	050	 	1351	"400V,3A,1,,DO-214AB,RECT DIODE/S3G-3HE3"		ROH	NA	8.32	S1_RFHM CUSW_J.JORGE AG	NO	4991018786
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730220093	NA	A2C00040024	7	3011	050	 	1351	"400V,3A,1,,DO-214AB,RECT DIODE/S3G-3HE3"		ROH	NA	3.64	S1_RFHM CUSW_J.JORGE AG	NO	4991018778
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8730220092	NA	A2C00040024	11	3011	050	 	1351	"400V,3A,1,,DO-214AB,RECT DIODE/S3G-3HE3"		ROH	NA	5.72	S1_RFHM CUSW_J.JORGE AG	NO	4991018759
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C3229600093	NA	A2C00040024	1	3011	050	 	1351	"400V,3A,1,,DO-214AB,RECT DIODE/S3G-3HE3"		ROH	NA	0.52	S1_RFHM CUSW_J.JORGE AG	NO	4991018259
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8016290092	NA	A2C00040024	37	3011	050	 	1351	"400V,3A,1,,DO-214AB,RECT DIODE/S3G-3HE3"		ROH	NA	19.24	S1_RFHM CUSW_J.JORGE AG	NO	4991018589
628267	07/06/2015	ZSCR	551	035-1	0	'050	A2C8016280093	NA	A2C00040024	1	3011	050	 	1351	"400V,3A,1,,DO-214AB,RECT DIODE/S3G-3HE3"		ROH	NA	0.52	S1_RFHM CUSW_J.JORGE AG	NO	4991018584
