No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
174976	04/07/2012	ZSCR	551	040-4	NA	5WG50408	NA	A2C53361552	522	1404	"label 40,00x 39,00mm white foil"	NA	ROH	NA	62.64	S4_PQ35 5TA GEN_MIGUEL	NO	4959428356
174978	04/07/2012	ZSCR	551	040-2	NA	5WG50410	NA	A2C53420004	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	343.79	S4_PQ35 5TA GEN_MIGUEL	NO	4959427786
174982	04/07/2012	ZSCR	551	040-2	NA	5WG50408	NA	A2C53420006	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	348.79	S4_PQ35 5TA GEN_MIGUEL	NO	4959427804
174983	04/07/2012	ZSCR	551	040-2	NA	5WG50408	NA	A2C53420006	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	348.79	S4_PQ35 5TA GEN_MIGUEL	NO	4959427804
174984	04/07/2012	ZSCR	551	040-2	NA	5WG50401	NA	A2C53420001	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	325.6	S4_PQ35 5TA GEN_MIGUEL	NO	4959427721
175000	04/07/2012	ZSCR	551	040-2	NA	5WG50029	NA	A2C53390797T	1	1402	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	99.63	S4_PQ GATEWAY_MIGUEL ZA	NO	4959427659
175001	04/07/2012	ZSCR	551	042-4	NA	A2C34172100	NA	A2C34172200	3	1424	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	197.82	S6_KWANG JIN_JAVIER BEC	NO	4959428377
175004	04/07/2012	ZSCR	551	040-2	NA	A2C34172100	NA	A2C3417220093	2	1402	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real	55.16	S6_KWANG JIN_JAVIER BEC	NO	4959427578
175197	05/07/2012	ZSCR	551	040-2	NA	5WG50403	NA	A2C53419999	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	337.47	S4_PQ35 5TA GEN_MIGUEL	NO	4959427708
175197	05/07/2012	ZSCR	551	040-2	NA	5WG50408	NA	A2C53420006	1	1402	pcb assy VW PQ35 ZE	NA	HALB	S.Real	348.79	S4_PQ35 5TA GEN_MIGUEL	NO	4959427804
