No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
149020	ZSCR	551	034-2	NA	S180039013	NA	A2C53121775	2	3011	045		1342	housing	NA	ROH	NA	3.4	S2_RF TUNER_ANTONIO ALA	4957847154
149020	ZSCR	551	034-2	NA	S180039013	NA	A2C53121776	4	3011	045		1342	COVER	NA	ROH	NA	4.76	S2_RF TUNER_ANTONIO ALA	4957847154
149020	ZSCR	551	034-2	NA	S180039013	NA	A2C53121779	9	3011	045		1342	sticker	NA	ROH	NA	1.8	S2_RF TUNER_ANTONIO ALA	4957847154
149021	ZSCR	551	034-2	NA	S122736090A	NA	A2C53386110	1	3011	045		1342	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	S2_BCM_ (APROBACION AU	4957847205
149022	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	1	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	65.94	S6_KWANG JIN_ (APROBAC	4957846642
149026	MB1A	551	042-4	B30301-00495	NA	NA	A2C34172200	2	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	131.88	S6_KWANG JIN_ (APROBAC	4957846642
149031	MB1A	551	050-1	B30301-00495	NA	NA	A2C34172200	1	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	65.94	S6_KWANG JIN_ (APROBAC	4957846642
149075	ZSCR	551	042-4	NA	5WY8770	NA	A2C53333349	80	3011	045		1424	pcb panel 1-up	NA	ROH	NA	468.8	S1_PEPS_ (APROBACION A	4957847873
149085	MB1A	551	030-1	B30301-00495	NA	NA	A2C3417220093	5	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real	137.9	S6_KWANG JIN_ (APROBAC	4957846642
149089	MB1A	551	040-4	B30301-00495	NA	NA	A2C34172200	1	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	65.94	S6_KWANG JIN_ (APROBAC	4957846642
149091	MB1A	551	030-1	B30301-00495	NA	NA	A2C3417220093	10	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real	275.8	S6_KWANG JIN_ (APROBAC	4957846642
149096	MB1A	551	030-1	B30301-00495	NA	NA	A2C34172200	1	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	65.94	S6_KWANG JIN_ (APROBAC	4957846642
149099	MB1A	551	030-1	B30301-00495	NA	NA	A2C3417220093	28	3011	045		1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real	772.24	S6_KWANG JIN_ (APROBAC	4957846642
149106	MB1A	551	030-1	B30301-01195	NA	NA	A2C31221300	9	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	441.9	S2_NISSAN KEY FOB SQUAR	4957846594
149108	MB1A	551	030-1	B30301-01195	NA	NA	A2C31221300	16	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	785.6	S2_NISSAN KEY FOB SQUAR	4957846594
149109	MB1A	551	022-2	B30301-00495	NA	NA	A2C34685400	3	3011	045		1095	GLOBAL-A_BCM_BOTTOM_HOUSING	NA	ROH	NA	16.77	S1_GLOBAL A_LUIS LIZARR	4957846567
149110	MB1A	551	022-2	B30301-00495	NA	NA	A2C34684200	1	3011	045		1095	GLOBAL-A_BCM_TOP_HOUSING	NA	ROH	NA	6.64	S1_GLOBAL A_LUIS LIZARR	4957846567
